TransactionID,id_01,id_02,id_03,id_04,id_05,id_06,id_07,id_08,id_09,id_10,id_11,id_12,id_13,id_14,id_15,id_16,id_17,id_18,id_19,id_20,id_21,id_22,id_23,id_24,id_25,id_26,id_27,id_28,id_29,id_30,id_31,id_32,id_33,id_34,id_35,id_36,id_37,id_38,DeviceType,DeviceInfo
3082972,-5,119617,0,0,0,0,13,-33,0,0,100.0,NotFound,52,-300,Found,Found,225,15,427,325,252,14,Unknown,11,321,147,Unknown,Found,Found,Unknown,chrome 63.0,24,Unknown,Unknown,F,F,T,T,desktop,Unknown
3488422,-5,35555,0,0,0,0,13,-33,0,0,100.0,NotFound,52,-360,Found,Found,166,15,542,333,252,14,Unknown,11,321,147,Unknown,Found,Found,Windows 10,edge 16.0,24,1919x1079,match_status:2,T,F,T,T,desktop,Windows
3276554,-5,69490,0,0,1,-4,13,-33,2,0,100.0,NotFound,52,-420,Found,Found,166,12,256,472,252,14,Unknown,11,321,147,Unknown,Found,Found,Windows 10,chrome 63.0,24,1920x1080,match_status:2,T,F,T,F,desktop,Windows
3070458,-15,129118,0,0,0,0,13,-33,0,0,100.0,NotFound,14,-300,Unknown,Unknown,166,15,339,472,252,14,Unknown,11,321,147,Unknown,Unknown,Unknown,Unknown,Unknown,24,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
3107819,0,35376,0,0,6,0,13,-33,0,0,100.0,Found,52,-300,Found,Found,166,15,352,533,252,14,Unknown,11,321,147,Unknown,Found,Found,Android,chrome 63.0,32,1280x720,match_status:2,T,F,T,T,mobile,Unknown
3463399,-5,138079,0,0,0,0,13,-33,0,0,100.0,NotFound,52,-300,Found,Found,166,15,294,600,252,14,Unknown,11,321,147,Unknown,Found,Found,Windows 10,chrome 65.0,24,1600x900,match_status:2,T,F,T,F,desktop,Windows
2991954,-5,101562,0,0,21,-18,13,-33,0,0,100.0,NotFound,49,-300,New,NotFound,166,13,525,256,252,14,Unknown,11,321,147,Unknown,New,NotFound,iOS 11.1.2,mobile safari 11.0,32,2001x1125,match_status:1,T,F,F,T,mobile,iOS Device
3348700,-5,140458,0,0,0,0,13,-33,0,0,100.0,NotFound,52,-300,New,NotFound,225,15,574,561,252,14,Unknown,11,321,147,Unknown,New,NotFound,Unknown,chrome 64.0,24,Unknown,Unknown,F,F,T,F,desktop,Windows
3048308,0,116068,0,0,0,-6,13,-33,0,0,100.0,NotFound,52,-300,Found,Found,225,15,271,507,252,14,Unknown,11,321,147,Unknown,Found,Found,Unknown,chrome 62.0 for android,24,Unknown,Unknown,F,F,T,T,mobile,LG-X180g Build/LMY47I
3282263,-20,273268,0,0,0,0,13,-33,0,0,100.0,NotFound,33,-300,Found,Found,225,15,266,325,252,14,Unknown,11,321,147,Unknown,Found,Found,Unknown,chrome 64.0 for android,24,Unknown,Unknown,F,F,T,F,mobile,SM-A520F Build/NRD90M
