New Terminal Output:

root@0d5e255b62ea:/workspace# cat << 'EOF' > check_v.py
> import pandas as pd
> df = pd.read_csv('/data/train_transaction.csv')
> print(df[['isFraud', 'V1', 'V2', 'V3', 'V4', 'V5']].dropna().head(20))
> EOF
root@0d5e255b62ea:/workspace# python3 check_v.py
     isFraud        V1        V2        V3        V4        V5
111        0  0.132871  0.731568  1.675799  0.678939  1.999321
148        0  0.049485  0.825671  0.571278  0.532218  0.066488
171        0  0.715127  0.289845  1.008045  0.067155  1.319986
192        0  0.217219  1.464123  0.215715  0.461818  1.176131
237        0  1.107721  1.668245  1.948098  0.702021  0.138261
248        0  1.075460  0.160681  1.969246  1.364522  1.153575
249        0  1.289191  1.342375  1.446524  0.189899  0.183303
310        0  0.230320  0.419523  0.176509  0.501650  1.704076
316        0  1.170194  0.972328  1.637598  0.479964  1.527155
421        1  1.854262  1.866597  1.306802  1.341934  1.260385
431        0  0.264731  0.442907  1.266856  0.236321  0.078230
472        0  1.250876  0.636905  0.833055  0.028449  0.093938
484        1  1.161653  1.570754  1.454483  1.766922  1.382552
508        0  1.258053  1.002946  0.686327  0.785824  0.515298
512        0  1.674798  0.738540  0.383793  0.960392  0.747778
533        0  1.170559  1.686342  1.695878  0.263289  1.095376
540        0  1.511960  0.934301  1.686225  1.927577  1.836212
571        0  1.362953  0.811317  0.660546  1.226712  0.732412
583        0  1.333969  1.249301  0.290571  0.890901  0.654800
604        0  0.969887  0.339803  0.657542  1.213308  1.201238
root@0d5e255b62ea:/workspace#
