TransactionID,id_01,id_02,id_03,id_04,id_05,id_06,id_07,id_08,id_09,id_10,id_11,id_12,id_13,id_14,id_15,id_16,id_17,id_18,id_19,id_20,id_21,id_22,id_23,id_24,id_25,id_26,id_27,id_28,id_29,id_30,id_31,id_32,id_33,id_34,id_35,id_36,id_37,id_38,DeviceType,DeviceInfo
3095550,-5.0,52720.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,-300.0,Found,Found,166.0,,312.0,597.0,,,,,,,,Found,Found,Windows 10,chrome 63.0,24.0,2560x1440,match_status:2,T,F,T,F,desktop,Windows
3549342,-10.0,1106.0,0.0,0.0,,,,,0.0,0.0,100.0,Found,27.0,,Found,Found,,,,,,,,,,,,Found,Found,,,,,match_status:2,T,F,T,F,desktop,
3105576,-20.0,214795.0,,,0.0,0.0,,,,,100.0,NotFound,52.0,,New,NotFound,225.0,15.0,427.0,541.0,,,,,,,,New,NotFound,,chrome 62.0,,,,F,F,T,T,desktop,
3005391,-5.0,42350.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,-300.0,Found,Found,166.0,,410.0,597.0,,,,,,,,Found,Found,Windows 10,edge 15.0,24.0,1280x768,match_status:2,T,F,T,T,desktop,Windows
3018720,-5.0,309254.0,,,0.0,0.0,,,,,100.0,NotFound,52.0,,New,NotFound,225.0,,266.0,325.0,,,,,,,,New,NotFound,,chrome 62.0,,,,F,F,T,T,desktop,Windows
3109545,-5.0,58787.0,0.0,0.0,0.0,-22.0,,,0.0,0.0,100.0,NotFound,52.0,-480.0,Found,Found,166.0,,591.0,222.0,,,,,,,,Found,Found,Windows 7,chrome 63.0,24.0,1600x900,match_status:2,T,F,T,F,desktop,Windows
3327275,-5.0,89652.0,,,2.0,0.0,,,,,100.0,NotFound,52.0,-300.0,New,NotFound,166.0,,100.0,500.0,,,,,,,,New,NotFound,Windows 10,chrome 64.0,24.0,1920x1080,match_status:2,T,F,T,T,desktop,Windows
3033744,-90.0,34630.0,0.0,0.0,0.0,-15.0,14.0,-59.0,0.0,0.0,100.0,NotFound,52.0,-480.0,Found,Found,166.0,12.0,337.0,222.0,596.0,14.0,IP_PROXY:HIDDEN,16.0,501.0,161.0,Found,Found,Found,Windows 7,chrome 63.0,24.0,1920x1080,match_status:2,T,F,T,T,desktop,Windows
3117563,-5.0,113766.0,,,0.0,-25.0,,,,,100.0,NotFound,49.0,,New,NotFound,225.0,,176.0,507.0,,,,,,,,New,NotFound,,chrome 46.0 for android,,,,F,F,T,F,mobile,7048A Build/LRX22G
3338454,0.0,167997.0,,,0.0,0.0,,,,,100.0,NotFound,,-420.0,New,NotFound,166.0,13.0,492.0,204.0,,,,,,,,New,NotFound,iOS 11.2.6,mobile safari generic,32.0,2048x1536,match_status:2,T,F,T,T,mobile,iOS Device
3394752,-20.0,564616.0,,,3.0,-9.0,,,,,100.0,NotFound,64.0,,Unknown,,225.0,15.0,417.0,507.0,,,,,,,,New,NotFound,,mobile safari generic,,,,F,F,F,F,mobile,
3319939,-5.0,67674.0,,,3.0,-1.0,,,,,100.0,NotFound,33.0,-480.0,New,NotFound,166.0,15.0,352.0,222.0,,,,,,,,New,NotFound,iOS 11.2.5,mobile safari generic,32.0,1334x750,match_status:2,T,F,T,F,mobile,iOS Device
3523313,-10.0,120182.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,Found,64.0,-300.0,Found,Found,166.0,15.0,542.0,489.0,,,,,,,,Found,Found,Mac OS X 10_13_4,safari 11.0,24.0,1440x900,match_status:2,T,F,T,F,desktop,MacOS
3390355,-5.0,610179.0,,,5.0,0.0,,,,,100.0,NotFound,64.0,,New,NotFound,225.0,,290.0,595.0,,,,,,,,New,NotFound,,chrome 65.0 for android,,,,F,F,T,F,mobile,SM-A320Y Build/NRD90M
3075252,-5.0,194948.0,,,0.0,0.0,,,,,100.0,NotFound,49.0,-300.0,New,NotFound,166.0,,529.0,600.0,,,,,,,,New,NotFound,iOS 11.1.2,mobile safari 11.0,32.0,1334x750,match_status:1,T,F,F,F,mobile,iOS Device
3326726,-5.0,57283.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,266.0,122.0,,,,,,,,Found,Found,,chrome 64.0,,,,F,F,T,F,desktop,Windows
3390212,-5.0,409767.0,,,0.0,0.0,,,,,100.0,NotFound,52.0,-360.0,New,NotFound,225.0,,266.0,507.0,,,,,,,,New,NotFound,,ie 11.0 for desktop,,,,F,T,F,F,desktop,Trident/7.0
3554467,-5.0,488811.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,266.0,507.0,,,,,,,,Found,Found,,chrome 66.0,,,,F,F,T,F,desktop,
3551241,-60.0,528616.0,,,3.0,-100.0,,,,,100.0,NotFound,27.0,,Unknown,,225.0,13.0,266.0,563.0,,,,,,,,New,NotFound,,chrome 66.0 for android,,,,F,F,F,F,mobile,ALP-L09 Build/HUAWEIALP-L09S
