TransactionID,TransactionDT,isFraud,TransactionAmt,card1,ProductCD,addr1,C1,C2
2987000,86413,0,127.9,6734,C,139.0,10.0,6.0
2987001,86607,0,96.23,3337,C,143.0,10.0,5.0
2987002,87074,0,60.98,1322,W,399.0,3.0,4.0
2987003,88364,0,66.88,10576,S,430.0,5.0,2.0
2987004,89510,0,35.29,1358,W,212.0,3.0,6.0
2987005,90520,0,53.83,2050,H,395.0,10.0,2.0
2987006,90639,0,137.63,1866,S,298.0,7.0,1.0
2987007,91344,0,571.59,14106,W,170.0,1.0,1.0
2987008,91500,0,75.21,2048,H,283.0,1.0,4.0
2987009,92492,0,34.15,6290,W,226.0,6.0,2.0
2987010,92927,0,288.04,7695,W,350.0,0.0,1.0
2987011,92955,0,8.14,14536,W,216.0,0.0,2.0
2987012,93468,0,314.75,14832,W,219.0,6.0,3.0
2987013,94073,1,16.98,13587,S,398.0,2.0,5.0
2987014,94557,0,198.06,16625,H,314.0,5.0,4.0
2987015,95333,0,50.84,11607,W,157.0,0.0,0.0
2987016,95379,0,132.3,12508,W,264.0,2.0,5.0
2987017,95549,0,1096.39,15823,S,128.0,2.0,1.0
2987018,96500,0,32.94,8122,W,412.0,10.0,5.0
2987019,97252,0,27.09,4211,W,283.0,6.0,4.0
2987020,97545,0,98.87,11960,S,160.0,8.0,4.0
2987021,97782,0,561.38,10217,H,375.0,0.0,1.0
2987022,99366,0,111.61,8393,W,446.0,8.0,0.0
2987023,100962,0,94.97,1612,H,303.0,1.0,1.0
2987024,101422,0,110.27,12859,H,273.0,4.0,3.0
2987025,101735,0,26.96,13767,W,208.0,5.0,4.0
2987026,101967,0,111.62,1221,W,420.0,0.0,0.0
2987027,102006,0,56.18,7410,W,119.0,2.0,5.0
2987028,102639,0,440.08,13702,W,105.0,6.0,4.0
2987029,102724,0,234.53,3328,W,396.0,0.0,1.0
2987030,102942,1,27.77,17099,H,296.0,5.0,3.0
2987031,103185,0,64.09,6165,W,351.0,1.0,6.0
2987032,103572,0,169.62,16022,W,270.0,3.0,4.0
2987033,105789,0,27.72,16016,W,189.0,2.0,1.0
2987034,106014,0,24.65,17325,H,139.0,8.0,0.0
2987035,106429,0,51.71,3314,W,286.0,8.0,6.0
2987036,106684,0,136.09,9880,H,439.0,2.0,3.0
2987037,107115,0,312.49,1227,W,104.0,10.0,2.0
2987038,107116,0,118.92,4445,W,380.0,1.0,2.0
2987039,107572,0,1728.14,12015,W,445.0,10.0,5.0
2987040,107573,0,39.96,9630,W,364.0,8.0,5.0
2987041,107630,0,218.86,9879,W,462.0,1.0,2.0
2987042,107719,0,23.79,10435,W,179.0,5.0,4.0
2987043,109739,0,622.14,9790,H,213.0,4.0,3.0
2987044,110537,0,460.03,9498,H,191.0,4.0,4.0
2987045,110720,0,211.41,1059,W,176.0,7.0,0.0
2987046,111104,0,11.21,2887,R,346.0,10.0,3.0
2987047,111636,0,209.07,9764,R,439.0,5.0,1.0
2987048,112044,0,33.68,14914,W,231.0,3.0,3.0
2987049,112514,0,155.14,10263,R,117.0,6.0,0.0
2987050,112527,0,15.71,8284,W,132.0,6.0,1.0
2987051,113519,0,124.46,7186,W,366.0,1.0,6.0
2987052,115881,0,58.89,3106,R,314.0,9.0,6.0
2987053,116111,0,35.38,15588,H,343.0,0.0,5.0
2987054,116744,0,183.3,8316,S,234.0,7.0,1.0
2987055,117916,0,84.64,1119,H,359.0,3.0,1.0
2987056,118018,0,70.39,3863,W,234.0,9.0,2.0
2987057,120020,0,218.03,17914,W,484.0,7.0,4.0
2987058,121548,0,884.26,13890,R,167.0,9.0,3.0
2987059,121646,0,125.31,7883,W,462.0,10.0,5.0
2987060,121915,0,10.31,1934,H,359.0,0.0,3.0
2987061,121916,0,13.87,2775,R,441.0,3.0,4.0
2987062,122010,0,97.78,7837,S,151.0,6.0,1.0
2987063,122402,0,308.51,8269,C,418.0,0.0,4.0
2987064,122704,0,105.81,13326,W,289.0,10.0,1.0
2987065,123935,1,233.27,17687,S,213.0,6.0,5.0
2987066,124267,0,83.88,7461,W,305.0,7.0,4.0
2987067,124318,0,285.58,4840,W,379.0,9.0,4.0
2987068,124346,0,188.66,17190,R,310.0,3.0,5.0
2987069,124757,0,26.48,12641,C,486.0,2.0,5.0
2987070,125106,0,154.06,15102,R,208.0,8.0,1.0
2987071,125364,0,14.14,13284,W,430.0,3.0,2.0
2987072,126948,0,154.1,2658,H,133.0,4.0,0.0
2987073,127510,0,64.14,16280,C,169.0,8.0,6.0
2987074,127744,0,109.16,8951,C,104.0,5.0,1.0
2987075,128971,0,132.8,15281,C,325.0,6.0,3.0
2987076,129933,0,126.21,6664,H,137.0,7.0,4.0
2987077,130937,0,493.23,15882,W,127.0,8.0,1.0
2987078,131237,0,93.77,17631,H,494.0,4.0,5.0
2987079,131550,0,112.92,9931,C,384.0,7.0,6.0
2987080,132561,0,443.98,16530,W,403.0,1.0,2.0
2987081,133099,0,876.7,4363,W,351.0,1.0,4.0
2987082,133520,0,88.12,13807,W,375.0,0.0,2.0
2987083,133899,0,48.69,9355,H,115.0,10.0,0.0
2987084,133998,0,51.68,4601,W,483.0,5.0,0.0
2987085,134203,0,154.6,1805,W,342.0,10.0,0.0
2987086,134535,0,70.52,14154,C,477.0,7.0,2.0
2987087,134798,0,11.03,16862,H,305.0,6.0,6.0
2987088,135913,0,346.42,3929,H,424.0,5.0,4.0
2987089,135930,0,239.48,11356,H,258.0,3.0,0.0
2987090,136010,0,356.37,8363,S,398.0,9.0,0.0
2987091,136509,0,451.67,16042,W,335.0,8.0,3.0
2987092,136840,0,113.15,4736,W,321.0,5.0,6.0
2987093,137438,0,123.06,3900,C,310.0,1.0,5.0
2987094,139186,0,301.26,5600,W,176.0,7.0,3.0
2987095,139271,0,20.95,3546,C,175.0,6.0,2.0
2987096,139982,0,58.97,13496,C,228.0,3.0,3.0
2987097,141152,0,83.83,1242,W,330.0,5.0,3.0
2987098,141357,1,428.82,5198,W,327.0,10.0,4.0
2987099,141956,0,47.17,9742,R,273.0,10.0,0.0
2987100,141983,0,38.3,12632,H,357.0,6.0,2.0
2987101,142222,0,53.67,13775,W,462.0,8.0,0.0
2987102,142479,0,158.15,9916,R,397.0,6.0,2.0
2987103,143264,0,82.94,16303,C,250.0,10.0,0.0
2987104,143529,0,15.79,14834,W,254.0,6.0,5.0
2987105,143701,0,20.0,8107,W,300.0,6.0,3.0
2987106,144495,0,106.05,7262,H,429.0,5.0,5.0
2987107,144805,0,110.37,10702,H,459.0,10.0,2.0
2987108,144887,0,93.05,13592,C,222.0,5.0,5.0
2987109,144982,1,59.94,17316,W,303.0,10.0,4.0
2987110,145248,0,231.64,1685,H,327.0,9.0,6.0
2987111,145299,0,140.16,5426,S,163.0,2.0,1.0
2987112,147158,0,134.54,9437,H,429.0,4.0,2.0
2987113,147634,0,140.4,9388,H,345.0,5.0,4.0
2987114,148392,0,612.1,9457,W,117.0,4.0,6.0
2987115,148410,0,26.33,16986,W,171.0,0.0,3.0
2987116,148449,0,54.31,9357,W,243.0,10.0,0.0
2987117,149039,0,60.12,5741,H,152.0,0.0,3.0
2987118,149092,0,407.16,13228,W,491.0,7.0,2.0
2987119,149348,0,57.48,1159,W,338.0,8.0,1.0
2987120,149418,0,34.78,14504,H,423.0,5.0,5.0
2987121,150597,0,79.28,9570,W,400.0,5.0,3.0
2987122,151712,0,102.05,9339,W,144.0,6.0,0.0
2987123,152013,0,378.29,9954,W,464.0,2.0,2.0
2987124,152477,0,57.08,1367,C,256.0,1.0,5.0
2987125,152644,0,39.45,2752,W,216.0,8.0,4.0
2987126,152851,0,30.21,8737,H,467.0,1.0,0.0
2987127,153524,0,59.55,7229,W,269.0,9.0,2.0
2987128,153746,0,1951.56,13379,H,142.0,9.0,6.0
2987129,154019,0,142.44,4610,W,145.0,4.0,3.0
2987130,154107,0,184.55,5884,W,395.0,7.0,5.0
2987131,154408,0,89.99,11122,W,286.0,2.0,2.0
2987132,155017,0,106.15,9310,W,290.0,5.0,0.0
2987133,155261,0,231.32,15756,W,373.0,8.0,6.0
2987134,155603,0,176.83,5521,R,206.0,8.0,5.0
2987135,156022,0,136.86,12576,W,460.0,8.0,3.0
2987136,156321,0,91.78,2851,W,309.0,3.0,5.0
2987137,156360,0,58.98,14032,W,491.0,8.0,1.0
2987138,156368,0,149.79,1681,W,358.0,6.0,5.0
2987139,156372,0,99.51,14167,W,307.0,7.0,6.0
2987140,156423,0,1163.65,14087,C,482.0,8.0,3.0
2987141,157163,0,317.58,1086,W,285.0,4.0,4.0
2987142,157257,0,40.08,1903,W,442.0,2.0,0.0
2987143,158230,0,22.12,9528,R,466.0,1.0,1.0
2987144,159029,0,55.82,5572,H,463.0,8.0,5.0
2987145,159458,1,37.84,15911,C,415.0,5.0,6.0
2987146,159847,0,51.94,11507,W,164.0,4.0,6.0
2987147,160504,0,28.12,13018,H,190.0,3.0,1.0
2987148,160867,0,60.8,8405,R,452.0,0.0,4.0
2987149,160957,0,61.67,14833,C,153.0,6.0,4.0
2987150,161117,0,107.41,11740,W,302.0,4.0,2.0
2987151,162780,0,70.23,4556,C,228.0,8.0,4.0
2987152,163303,0,30.49,3193,W,468.0,3.0,2.0
2987153,164283,0,386.79,16758,C,233.0,9.0,5.0
2987154,164407,0,146.0,2004,H,141.0,10.0,4.0
2987155,164625,0,46.84,16237,W,203.0,8.0,4.0
2987156,164787,0,31.08,17144,H,202.0,10.0,1.0
2987157,164929,0,15.48,14550,W,463.0,9.0,6.0
2987158,165009,0,14.17,12906,H,227.0,4.0,4.0
2987159,166511,0,316.38,16319,W,455.0,6.0,2.0
2987160,166583,0,278.53,9325,H,247.0,2.0,5.0
2987161,167881,0,44.65,1257,W,373.0,7.0,5.0
2987162,168369,0,463.78,12853,W,243.0,1.0,4.0
2987163,168425,0,188.69,5794,S,415.0,9.0,3.0
2987164,169114,0,114.88,6912,C,311.0,0.0,3.0
2987165,169695,0,253.24,2530,W,241.0,1.0,2.0
2987166,169852,0,189.08,16860,W,440.0,9.0,1.0
2987167,170023,0,108.25,17944,W,287.0,4.0,3.0
2987168,170102,0,67.49,8215,R,293.0,2.0,2.0
2987169,170456,0,79.15,7786,C,299.0,3.0,1.0
2987170,171625,0,13.07,9138,W,480.0,0.0,5.0
2987171,171783,0,34.44,16729,W,176.0,8.0,5.0
2987172,172463,0,780.7,17949,C,435.0,4.0,3.0
2987173,172467,0,33.35,10834,W,337.0,3.0,0.0
2987174,172703,0,9.77,7117,H,177.0,8.0,0.0
2987175,172850,0,266.34,15637,H,415.0,1.0,1.0
2987176,172904,0,121.31,1025,H,306.0,10.0,0.0
2987177,173815,0,129.78,5147,W,360.0,5.0,4.0
2987178,174450,0,74.51,12245,C,472.0,6.0,5.0
2987179,175079,0,268.52,2897,H,333.0,8.0,2.0
2987180,175217,0,564.31,14403,W,367.0,9.0,1.0
2987181,175391,0,48.15,3092,H,392.0,2.0,6.0
2987182,176020,0,192.38,5591,W,322.0,8.0,1.0
2987183,176250,0,344.53,13739,W,415.0,2.0,3.0
2987184,176517,0,45.0,13567,W,170.0,2.0,1.0
2987185,176696,0,550.87,8300,W,355.0,1.0,0.0
2987186,177289,0,343.16,7196,W,357.0,3.0,3.0
2987187,177829,0,20.28,5625,W,466.0,1.0,5.0
2987188,178390,0,610.31,12507,W,371.0,8.0,1.0
2987189,178597,0,21.6,13289,C,183.0,3.0,0.0
2987190,178794,0,39.45,16336,W,367.0,2.0,1.0
2987191,178863,0,204.46,5426,H,100.0,10.0,6.0
2987192,179303,0,314.11,11263,H,246.0,0.0,5.0
2987193,180995,0,101.33,15679,S,393.0,9.0,4.0
2987194,181349,0,42.27,13063,H,342.0,10.0,5.0
2987195,181662,0,65.88,2380,R,393.0,9.0,0.0
2987196,182168,0,57.16,15479,H,493.0,3.0,1.0
2987197,182201,0,247.02,6461,R,297.0,2.0,2.0
2987198,183004,0,55.31,14771,W,381.0,0.0,4.0
2987199,183325,0,41.17,5896,C,226.0,1.0,3.0
2987200,184837,0,15.29,2099,W,398.0,6.0,0.0
2987201,185853,0,44.12,16537,W,347.0,0.0,6.0
2987202,186020,0,78.1,10063,C,435.0,9.0,4.0
2987203,186440,0,23.19,8882,W,336.0,4.0,0.0
2987204,187017,0,11.09,17858,H,158.0,6.0,3.0
2987205,187389,0,291.77,11458,R,400.0,9.0,5.0
2987206,187981,0,27.1,13609,W,292.0,10.0,3.0
2987207,188784,0,18.71,15766,H,388.0,1.0,3.0
2987208,189205,0,591.95,12994,H,137.0,8.0,4.0
2987209,189341,0,249.27,13410,W,283.0,9.0,2.0
2987210,189661,0,308.15,5452,H,337.0,7.0,1.0
2987211,190326,0,165.05,7908,W,212.0,0.0,0.0
2987212,190507,0,434.26,3423,W,145.0,4.0,4.0
2987213,192004,1,312.25,16360,H,306.0,4.0,1.0
2987214,192105,0,59.54,14895,W,462.0,8.0,6.0
2987215,193039,0,25.08,16275,C,291.0,2.0,4.0
2987216,193074,0,19.3,13321,H,340.0,4.0,3.0
2987217,194555,0,76.12,13444,W,331.0,4.0,3.0
2987218,195213,0,24.05,5276,W,210.0,10.0,4.0
2987219,196322,0,34.56,2605,W,188.0,1.0,3.0
2987220,196409,0,74.98,16516,W,319.0,2.0,3.0
2987221,196700,0,481.76,13688,C,379.0,1.0,0.0
2987222,197380,0,14.69,17314,W,477.0,0.0,3.0
2987223,197667,0,93.29,4134,H,278.0,8.0,6.0
2987224,197815,0,20.05,5033,H,321.0,7.0,4.0
2987225,198075,0,46.17,14707,C,280.0,2.0,6.0
2987226,199164,0,274.74,7027,W,439.0,1.0,1.0
2987227,201418,0,32.52,10611,S,444.0,7.0,0.0
2987228,201948,0,65.62,6999,W,346.0,3.0,4.0
2987229,202170,1,129.26,13317,W,225.0,8.0,3.0
2987230,202351,0,208.81,1278,S,425.0,10.0,0.0
2987231,203007,0,46.64,11498,R,123.0,4.0,2.0
2987232,203229,0,408.68,8563,W,204.0,6.0,3.0
2987233,203650,0,52.76,6552,W,366.0,9.0,6.0
2987234,203767,0,160.97,6982,W,160.0,0.0,0.0
2987235,204068,0,71.67,16251,C,417.0,5.0,2.0
2987236,204446,0,219.0,11013,W,484.0,0.0,2.0
2987237,205661,0,1025.58,17526,S,378.0,10.0,4.0
2987238,206139,0,64.51,4651,H,267.0,9.0,5.0
2987239,207801,0,88.3,12317,H,202.0,10.0,5.0
2987240,208466,0,53.6,2808,C,285.0,5.0,3.0
2987241,208573,0,44.56,4735,W,337.0,4.0,6.0
2987242,209535,0,38.89,11567,W,158.0,2.0,1.0
2987243,209721,0,88.03,6941,C,421.0,3.0,4.0
